topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 1, ""_ts"": 1616701355016}]",0,0,1616701354.996088,2.6833419799804688
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 0, ""_ts"": 1616701355117}]",0,0,1616701355.096697,0.10060906410217285
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0.10034277199997632, ""_ts"": 1616701355217}]",0,0,1616701355.1976168,0.10091972351074219
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0, ""_ts"": 1616701355218}]",0,0,1616701355.2013319,0.003715038299560547
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""print_job_with_dancer_arm"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 568.36066593, ""updated"": 571.309866252, ""count"": 294}}, ""cpu_time"": 571.25210821, ""utc_time"": 1616701355.159892, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701355219}",0,0,1616701355.2021859,0.0008540153503417969
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 0, ""_ts"": 1616701355219}, {""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 1, ""_ts"": 1616701355219}]",0,0,1616701355.2028642,0.0006783008575439453
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 1, ""_ts"": 1616701355220}]",0,0,1616701355.2032042,0.0003399848937988281
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0.11009862599996723, ""_ts"": 1616701355317}]",0,0,1616701355.2973282,0.09412407875061035
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 1, ""_ts"": 1616701355318}]",0,0,1616701355.3005388,0.0032105445861816406
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 1, ""_ts"": 1616701355419}]",0,0,1616701355.398994,0.09845519065856934
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 0, ""_ts"": 1616701355420}]",0,0,1616701355.402122,0.0031280517578125
l99/${deviceId}/evt/read,"[{""address"": ""%I0.13"", ""keys"": [""IN14"", ""web.dancer_arm"", ""J3.10"", ""SX1.P13""], ""value"": 1, ""_ts"": 1616701355519}]",0,0,1616701355.499476,0.09735393524169922
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 1, ""_ts"": 1616701355520}]",0,0,1616701355.502901,0.003425121307373047
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 1, ""_ts"": 1616701355922}]",0,0,1616701355.902431,0.39952993392944336
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 0, ""_ts"": 1616701356629}]",0,0,1616701356.713388,0.8109569549560547
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 1.2488461489999736, ""_ts"": 1616701356630}]",0,0,1616701356.7137449,0.00035691261291503906
l99/${deviceId}/evt/read,"[{""address"": ""%M55.8"", ""keys"": [""metric.cylinder_home_disengage_time1""], ""value"": 0, ""_ts"": 1616701356631}]",0,0,1616701356.714263,0.0005180835723876953
l99/${deviceId}/evt/read,"[{""address"": ""%M55.9"", ""keys"": [""metric.cylinder_extend_time""], ""value"": 0, ""_ts"": 1616701356631}]",0,0,1616701356.7150168,0.0007538795471191406
l99/${deviceId}/evt/read,"[{""address"": ""%M55.7"", ""keys"": [""metric.cylinder_travel_time""], ""value"": 0, ""_ts"": 1616701356632}]",0,0,1616701356.715508,0.0004911422729492188
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 0, ""_ts"": 1616701356632}]",0,0,1616701356.716088,0.0005800724029541016
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""apply_label"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 568.36066593, ""updated"": 572.721034059, ""count"": 433}}, ""cpu_time"": 572.645827432, ""utc_time"": 1616701356.5536113, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701356633}",0,0,1616701356.716595,0.0005068778991699219
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.6"", ""keys"": [""OUT7"", ""tamp.cylinder"", ""J5.3"", ""SX2.P6""], ""value"": 1, ""_ts"": 1616701356633}]",0,0,1616701356.716991,0.0003960132598876953
l99/${deviceId}/evt/read,"[{""address"": ""%I0.7"", ""keys"": [""IN8"", ""tamp.head_up"", ""J1.11"", ""SX1.P7""], ""value"": 0, ""_ts"": 1616701356634}]",0,0,1616701356.717354,0.0003631114959716797
l99/${deviceId}/evt/read,"[{""address"": ""%M55.8"", ""keys"": [""metric.cylinder_home_disengage_time1""], ""value"": 0.0912657079999235, ""_ts"": 1616701356634}]",0,0,1616701356.717725,0.00037097930908203125
l99/${deviceId}/evt/read,"[{""address"": ""%I0.13"", ""keys"": [""IN14"", ""web.dancer_arm"", ""J3.10"", ""SX1.P13""], ""value"": 0, ""_ts"": 1616701356726}]",0,0,1616701356.718004,0.0002789497375488281
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 0, ""_ts"": 1616701356727}]",0,0,1616701356.718294,0.0002899169921875
l99/${deviceId}/evt/read,"[{""address"": ""%M55.9"", ""keys"": [""metric.cylinder_extend_time""], ""value"": 0.28428308200000174, ""_ts"": 1616701356826}]",0,0,1616701356.80608,0.08778619766235352
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 0, ""_ts"": 1616701356827}, {""address"": ""%Q0.6"", ""keys"": [""OUT7"", ""tamp.cylinder"", ""J5.3"", ""SX2.P6""], ""value"": 0, ""_ts"": 1616701356827}]",0,0,1616701356.809383,0.0033028125762939453
l99/${deviceId}/evt/read,"[{""address"": ""%I0.7"", ""keys"": [""IN8"", ""tamp.head_up"", ""J1.11"", ""SX1.P7""], ""value"": 1, ""_ts"": 1616701357128}]",0,0,1616701357.1073542,0.297971248626709
l99/${deviceId}/evt/read,"[{""address"": ""%M55.7"", ""keys"": [""metric.cylinder_travel_time""], ""value"": 0.576419059999921, ""_ts"": 1616701357129}]",0,0,1616701357.110425,0.003070831298828125
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""metric.life_count""], ""value"": 82, ""_ts"": 1616701357129}]",0,0,1616701357.110764,0.0003390312194824219
l99/${deviceId}/evt/read,"[{""address"": ""%M55.1"", ""keys"": [""metric.cycle_count""], ""value"": 1, ""_ts"": 1616701357130}]",0,0,1616701357.111059,0.0002949237823486328
l99/${deviceId}/evt/read,"[{""address"": ""%M55.6"", ""keys"": [""metric.labels_applied""], ""value"": 38, ""_ts"": 1616701357131}]",0,0,1616701357.1138408,0.0027818679809570312
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 568.36066593, ""updated"": 573.206250966, ""count"": 481}}, ""cpu_time"": 573.221114856, ""utc_time"": 1616701357.1289003, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701357132}",0,0,1616701357.114302,0.0004611015319824219
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0, ""_ts"": 1616701357228}]",0,0,1616701357.207542,0.09324002265930176
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 568.36066593, ""updated"": 573.320787343, ""count"": 491}}, ""cpu_time"": 573.233343424, ""utc_time"": 1616701357.141129, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701357229}",0,0,1616701357.211065,0.003523111343383789
l99/${deviceId}/evt/read,"[{""address"": ""%I0.5"", ""keys"": [""IN6"", ""printer.data_ready"", ""J2.P6"", ""SX1.P5""], ""value"": 1, ""_ts"": 1616701358235}]",0,0,1616701358.2481558,1.03709077835083
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 1, ""_ts"": 1616701361255}]",0,0,1616701361.234805,2.98664927482605
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 0, ""_ts"": 1616701361456}]",0,0,1616701361.436183,0.20137786865234375
