topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 0, ""_ts"": 1616700964532}]",0,0,1616700964.524051,0.1748208999633789
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 7.305500000143184e-05, ""_ts"": 1616700964533}]",0,0,1616700964.527806,0.0037550926208496094
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""print_job_with_dancer_arm"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 177.403938919, ""updated"": 180.614707325, ""count"": 320}}, ""cpu_time"": 180.624431914, ""utc_time"": 1616700964.5322165, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700964533}",0,0,1616700964.528225,0.0004189014434814453
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 0, ""_ts"": 1616700964632}, {""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 1, ""_ts"": 1616700964632}]",0,0,1616700964.623251,0.09502601623535156
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0.10998108199999024, ""_ts"": 1616700964732}]",0,0,1616700964.723796,0.10054492950439453
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 1, ""_ts"": 1616700964733}]",0,0,1616700964.7274408,0.0036449432373046875
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 1, ""_ts"": 1616700964733}]",0,0,1616700964.727742,0.00030112266540527344
l99/${deviceId}/evt/read,"[{""address"": ""%I0.13"", ""keys"": [""IN14"", ""web.dancer_arm"", ""J3.10"", ""SX1.P13""], ""value"": 1, ""_ts"": 1616700965032}]",0,0,1616700965.024519,0.29677700996398926
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 1, ""_ts"": 1616700965033}]",0,0,1616700965.028419,0.0039000511169433594
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 1, ""_ts"": 1616700965435}]",0,0,1616700965.444625,0.41620588302612305
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 1, ""_ts"": 1616700965636}]",0,0,1616700965.648661,0.20403599739074707
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 0, ""_ts"": 1616700965938}]",0,0,1616700965.956175,0.3075141906738281
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 1.238198777000008, ""_ts"": 1616700965938}]",0,0,1616700965.959299,0.0031239986419677734
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 0, ""_ts"": 1616700965939}]",0,0,1616700965.959717,0.00041794776916503906
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""apply_label"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 177.403938919, ""updated"": 182.028945853, ""count"": 459}}, ""cpu_time"": 182.004133444, ""utc_time"": 1616700965.911918, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700965940}",0,0,1616700965.960242,0.0005249977111816406
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.6"", ""keys"": [""OUT7"", ""tamp.cylinder"", ""J5.3"", ""SX2.P6""], ""value"": 1, ""_ts"": 1616700965941}]",0,0,1616700965.960656,0.0004138946533203125
l99/${deviceId}/evt/read,"[{""address"": ""%I0.7"", ""keys"": [""IN8"", ""tamp.head_up"", ""J1.11"", ""SX1.P7""], ""value"": 0, ""_ts"": 1616700966038}]",0,0,1616700966.029022,0.06836605072021484
l99/${deviceId}/evt/read,"[{""address"": ""%M55.8"", ""keys"": [""metric.cylinder_home_disengage_time1""], ""value"": 0.10743001000000163, ""_ts"": 1616700966038}]",0,0,1616700966.0322711,0.0032491683959960938
l99/${deviceId}/evt/read,"[{""address"": ""%M55.9"", ""keys"": [""metric.cylinder_extend_time""], ""value"": 0.16829222100000152, ""_ts"": 1616700966138}]",0,0,1616700966.130846,0.09857487678527832
