topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""pgm0"", ""step"": ""step1"", ""faults"": {}, ""cpu_time"": 6309035.984902669, ""utc_time"": 1615427419.6599176, ""build_no"": ""1.3.0.3"", ""_ts"": 1615427419676}",0,1,1615427419.811077,0.05297517776489258
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 1, ""_ts"": 1615427419875}]",0,0,1615427419.873438,0.06236076354980469
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 1, ""_ts"": 1615427420176}]",0,0,1615427420.1746821,0.30124425888061523
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 2, ""_ts"": 1615427420376}]",0,0,1615427420.3726752,0.19799304008483887
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 0, ""_ts"": 1615427420676}]",0,0,1615427420.672758,0.3000829219818115
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 3, ""_ts"": 1615427420876}]",0,0,1615427420.87244,0.19968199729919434
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 1, ""_ts"": 1615427421177}]",0,0,1615427421.224494,0.3520538806915283
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 4, ""_ts"": 1615427421377}]",0,0,1615427421.3739572,0.14946317672729492
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 0, ""_ts"": 1615427421678}]",0,0,1615427421.675444,0.3014867305755615
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 5, ""_ts"": 1615427421877}]",0,0,1615427421.8743181,0.19887423515319824
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 1, ""_ts"": 1615427422182}]",0,0,1615427422.248228,0.37390995025634766
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 6, ""_ts"": 1615427422378}]",0,0,1615427422.375076,0.1268479824066162
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 0, ""_ts"": 1615427422779}]",0,0,1615427422.77657,0.40149402618408203
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 7, ""_ts"": 1615427422879}]",0,0,1615427422.8751092,0.09853911399841309
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 1, ""_ts"": 1615427423279}]",0,0,1615427423.3741481,0.4990389347076416
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 8, ""_ts"": 1615427423379}]",0,0,1615427423.377068,0.002919912338256836
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 0, ""_ts"": 1615427423781}]",0,0,1615427423.777548,0.4004800319671631
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 9, ""_ts"": 1615427423880}]",0,0,1615427423.882776,0.10522794723510742
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 1, ""_ts"": 1615427424280}]",0,0,1615427424.2775931,0.3948171138763428
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 10, ""_ts"": 1615427424380}]",0,0,1615427424.379461,0.1018679141998291
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""pgm0"", ""step"": ""step2"", ""faults"": {}, ""cpu_time"": 6309040.985263693, ""utc_time"": 1615427424.6602786, ""build_no"": ""1.3.0.3"", ""_ts"": 1615427424680}",0,0,1615427424.679232,0.2997708320617676
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""pgm0"", ""step"": ""step2"", ""faults"": {""50"": {""description"": ""soft fault 50"", ""hard"": false, ""added"": 6309040.994345897, ""updated"": 6309041.004368754, ""count"": 2}}, ""cpu_time"": 6309040.994591616, ""utc_time"": 1615427424.669605, ""build_no"": ""1.3.0.3"", ""_ts"": 1615427424681}",0,0,1615427424.681765,0.0025331974029541016
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""pgm0"", ""step"": ""step3"", ""faults"": {}, ""cpu_time"": 6309045.988936997, ""utc_time"": 1615427429.6639516, ""build_no"": ""1.3.0.3"", ""_ts"": 1615427429685}",0,0,1615427429.682792,5.00102686882019
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""pgm0"", ""step"": ""fault"", ""faults"": {""1"": {""description"": ""hard fault 1"", ""hard"": true, ""added"": 6309050.991224852, ""updated"": 6309050.99122826, ""count"": 1}}, ""cpu_time"": 6309050.99221819, ""utc_time"": 1615427434.6672328, ""build_no"": ""1.3.0.3"", ""_ts"": 1615427434690}",0,0,1615427434.687139,5.004347085952759
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 0, ""_ts"": 1615427436692}]",0,0,1615427436.788607,2.1014678478240967
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""pgm0"", ""step"": ""step1"", ""faults"": {}, ""cpu_time"": 6309053.000229271, ""utc_time"": 1615427436.675241, ""build_no"": ""1.3.0.3"", ""_ts"": 1615427436692}",0,0,1615427436.791296,0.0026891231536865234
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 0, ""_ts"": 1615427436693}]",0,0,1615427436.791651,0.00035500526428222656
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 1, ""_ts"": 1615427436992}]",0,0,1615427436.98804,0.19638895988464355
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 1, ""_ts"": 1615427437192}]",0,0,1615427437.1880698,0.20002985000610352
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 2, ""_ts"": 1615427437493}]",0,0,1615427437.489389,0.3013191223144531
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""output.1""], ""value"": 0, ""_ts"": 1615427437693}]",0,0,1615427437.708868,0.21947908401489258
l99/${deviceId}/evt/read,"[{""address"": ""%M55.0"", ""keys"": [""counter.0.value""], ""value"": 3, ""_ts"": 1615427437993}]",0,0,1615427438.017644,0.3087759017944336
