topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 0, ""_ts"": 1616701429448}]",0,0,1616701429.428864,0.003020048141479492
l99/${deviceId}/evt/read,"[{""address"": ""%I0.13"", ""keys"": [""IN14"", ""web.dancer_arm"", ""J3.10"", ""SX1.P13""], ""value"": 1, ""_ts"": 1616701429649}]",0,0,1616701429.627091,0.1982269287109375
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 1, ""_ts"": 1616701429649}]",0,0,1616701429.630388,0.003297090530395508
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 1, ""_ts"": 1616701430051}]",0,0,1616701430.033834,0.4034459590911865
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 0, ""_ts"": 1616701430560}]",0,0,1616701430.538301,0.5044670104980469
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 1.248509782000042, ""_ts"": 1616701430561}]",0,0,1616701430.541269,0.0029680728912353516
l99/${deviceId}/evt/read,"[{""address"": ""%M55.8"", ""keys"": [""metric.cylinder_home_disengage_time1""], ""value"": 0, ""_ts"": 1616701430562}]",0,0,1616701430.5417118,0.00044274330139160156
l99/${deviceId}/evt/read,"[{""address"": ""%M55.9"", ""keys"": [""metric.cylinder_extend_time""], ""value"": 0, ""_ts"": 1616701430562}]",0,0,1616701430.542088,0.0003762245178222656
l99/${deviceId}/evt/read,"[{""address"": ""%M55.7"", ""keys"": [""metric.cylinder_travel_time""], ""value"": 0, ""_ts"": 1616701430563}]",0,0,1616701430.542389,0.0003008842468261719
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 0, ""_ts"": 1616701430563}]",0,0,1616701430.544322,0.0019330978393554688
