topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 966.267349931, ""updated"": 1105.575680155, ""count"": 13838}}, ""cpu_time"": 1105.508104875, ""utc_time"": 1616701889.4158895, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701889490}",0,1,1616702032.1260328,0.010673761367797852
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 1, ""_ts"": 1616702042253}]",0,0,1616702042.2148328,10.088799953460693
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 0, ""_ts"": 1616702042353}]",0,0,1616702042.314754,0.09992122650146484
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0.10050281399981031, ""_ts"": 1616702042457}]",0,0,1616702042.4185731,0.10381913185119629
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 0, ""_ts"": 1616702042458}]",0,0,1616702042.4223459,0.003772735595703125
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0, ""_ts"": 1616702042459}]",0,0,1616702042.422561,0.00021505355834960938
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""print_job_with_dancer_arm"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 966.267349931, ""updated"": 1258.54608173, ""count"": 29037}}, ""cpu_time"": 1258.528649982, ""utc_time"": 1616702042.4364336, ""build_no"": ""1.3.0.2"", ""_ts"": 1616702042459}",0,0,1616702042.422761,0.00020003318786621094
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 0, ""_ts"": 1616702042460}, {""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 1, ""_ts"": 1616702042460}]",0,0,1616702042.422946,0.0001850128173828125
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 1, ""_ts"": 1616702042559}]",0,0,1616702042.519841,0.09689497947692871
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0.10138520000009521, ""_ts"": 1616702042559}]",0,0,1616702042.522987,0.003145933151245117
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 1, ""_ts"": 1616702042560}]",0,0,1616702042.523305,0.0003180503845214844
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 1, ""_ts"": 1616702042656}]",0,0,1616702042.617398,0.09409308433532715
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 0, ""_ts"": 1616702042657}]",0,0,1616702042.619932,0.0025339126586914062
l99/${deviceId}/evt/read,"[{""address"": ""%I0.13"", ""keys"": [""IN14"", ""web.dancer_arm"", ""J3.10"", ""SX1.P13""], ""value"": 1, ""_ts"": 1616702042857}]",0,0,1616702042.818431,0.19849896430969238
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 1, ""_ts"": 1616702042858}]",0,0,1616702042.821682,0.0032510757446289062
l99/${deviceId}/evt/read,"[{""address"": ""%Q1.0"", ""keys"": [""web.take_up_motor_state""], ""value"": 1, ""_ts"": 1616702043260}]",0,0,1616702043.298292,0.4766099452972412
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 0, ""_ts"": 1616702043864}]",0,0,1616702043.912643,0.6143510341644287
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 1.24832120699989, ""_ts"": 1616702043865}]",0,0,1616702043.915684,0.0030410289764404297
l99/${deviceId}/evt/read,"[{""address"": ""%M55.8"", ""keys"": [""metric.cylinder_home_disengage_time1""], ""value"": 0, ""_ts"": 1616702043866}]",0,0,1616702043.916225,0.0005409717559814453
l99/${deviceId}/evt/read,"[{""address"": ""%M55.9"", ""keys"": [""metric.cylinder_extend_time""], ""value"": 0, ""_ts"": 1616702043866}]",0,0,1616702043.916668,0.0004429817199707031
l99/${deviceId}/evt/read,"[{""address"": ""%M55.7"", ""keys"": [""metric.cylinder_travel_time""], ""value"": 0, ""_ts"": 1616702043867}]",0,0,1616702043.917004,0.0003361701965332031
