topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 759.426027646, ""utc_time"": 1616701543.3338113, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701543380}",0,1,1616701547.817934,0.00934600830078125
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616701551.270724,3.4527900218963623
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 767.4054216, ""utc_time"": 1616701551.313203, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701551388}",0,0,1616701551.362379,0.09165501594543457
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616701551388}]",0,0,1616701551.365709,0.0033299922943115234
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 767.418630533, ""utc_time"": 1616701551.326412, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701551388}",0,0,1616701551.3663309,0.000621795654296875
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0, ""_ts"": 1616701551389}]",0,0,1616701551.366878,0.0005471706390380859
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 1, ""_ts"": 1616701551389}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701551389}]",0,0,1616701551.367295,0.0004169940948486328
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 767.425773582, ""updated"": 767.476058994, ""count"": 6}}, ""cpu_time"": 767.428181481, ""utc_time"": 1616701551.3359628, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701551389}",0,0,1616701551.3676858,0.00039076805114746094
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 1, ""_ts"": 1616701554000}]",0,0,1616701554.036695,2.669009208679199
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 0, ""_ts"": 1616701554201}]",0,0,1616701554.1764438,0.13974881172180176
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0.10036193400003413, ""_ts"": 1616701554302}]",0,0,1616701554.27745,0.10100626945495605
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 0, ""_ts"": 1616701554303}]",0,0,1616701554.280556,0.0031058788299560547
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0, ""_ts"": 1616701554303}]",0,0,1616701554.2809842,0.00042819976806640625
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""print_job_with_dancer_arm"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 767.425773582, ""updated"": 770.394363323, ""count"": 296}}, ""cpu_time"": 770.386839595, ""utc_time"": 1616701554.2946231, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701554304}",0,0,1616701554.281474,0.0004899501800537109
